item	count	errCnt
15642030	3	0
16481103	3	0
30154992	3	0
10811473	3	1
40718692	3	1
28976351	3	1
29002324	3	1
37883588	3	1
46186390	3	1
46883055	3	1
47904720	3	1
47904759	3	1
10316199	3	1
16424016	3	1
17164483	3	1
20678667	3	0
20678668	3	1
17038277	3	0
5430278	2	0
5430279	2	0
10543153	2	0
13227369	2	0
15222328	2	0
16927186	2	0
17235945	2	0
20439816	2	0
21975850	2	0
22621021	2	0
22621023	2	0
22621027	2	0
24537722	2	0
24675156	2	0
26845742	2	0
39611559	2	0
39611562	2	0
42338330	2	0
42338345	2	0
43222858	2	0
43222861	2	0
44812789	2	0
46928004	2	0
46928005	2	0
29369672	2	0
47403540	2	0
47405738	2	0
48668326	2	0
48668436	2	0
48668615	2	0
40464993	2	0
28876154	2	0
47839625	2	0
